326	1776856.881	1102855.811	1779666.315	1100095.453
327	1780823.334	1029998.692	1778910.838	1029736.515
328	1743940.21	1027110.034	1740486.615	1025043.872
329	1741801.566	1024417.485	1739333.485	1022968.221
330	1737641.922	1029690.178	1736090.797	1028313.646
331	1926048.995	1176046.562	1929582.991	1174478.939
332	1961011.111	1237454.996	1960495.093	1234639.355
333	1946898.539	1238571.586	1947779.045	1236091.531
334	1947012.546	1250870.247	1947684.47	1249228.304
335	1970236.98	1285897.857	1970331.179	1284904.487
336	1970647.561	1289913.182	1970734.862	1289675.265
336	1978517.864	1270978.27	1979177.363	1267348.867
337	1907904.266	1201202.542	1910261.122	1198209.859
338	1865599.808	1187667.185	1868114.53	1184232.653
339	1872789.59	1189887.993	1875310.778	1186347.476
339	1850806.632	1173833.977	1852972.004	1169820.643
340	1812464.656	1135169.355	1815555.474	1132248.635
341	1756810.631	1063647.521	1757709.471	1060959.42
342	1732119.737	1019222.905	1730533.83	1018578.163
343	1745344.721	1060854.67	1746259.285	1058045.942
344	1941250.928	1225694.58	1943422.962	1223211.006
345	1714642.685	1010429.615	1713382.864	1009736.554
346	1754641.611	1084079.711	1758519.446	1083140.618
347	1798402.802	1111335.103	1801320.507	1108571.925
348	1967112.125	1246022.364	1965499.754	1241087.943
349	1742273.367	1030336.523	1740934.139	1028676.035
350	1852622.817	1176857.792	1854758.927	1173046.189
351	1910486.224	1191199.722	1913369.513	1189642.072
352	1911925.374	1185747.976	1914550.268	1183904.682
352	1939885.983	1159621.251	1943518.488	1158081.785
353	1956424.337	1245962.34	1955916.489	1243377.52
